Menu ID,Stall Location,Menu TH,Menu EN,Price (Baht),Regional Cuisine,Cooking Method,Food Type,Other details,Main Ingredients, Hidden Ingredients,Food Picture
01011,01,ปลาดุกแดดเดียว,Sun-dried catfish,20,Thai,Fried (after sun-dry),Seafood,salty,catfish,"salt, oil",https://res.cloudinary.com/dejzapat4/image/upload/v1739355609/01011_hlfrfz.jpg
02001,02,ข้าวกะเพราหมูกรอบ,Rice with crispy pork and holy basil,40,Thai,Stir-fried,Cook-to-order,spicy option,"crispy pork, holy basil, rice","chili, garlic, fish sauce, soy sauce, oil",https://res.cloudinary.com/dejzapat4/image/upload/v1739355609/02001_krbh1n.jpg
02002,02,ข้าวกะเพราหมูสับ,Rice with minced pork and holy basil,40,Thai,Stir-fried,Cook-to-order,spicy option,"holy basil, rice, pork","chili, garlic, fish sauce, soy sauce, oil",https://res.cloudinary.com/dejzapat4/image/upload/v1739355609/02002_dezr99.jpg
02003,02,ข้าวกะเพราเนื้อ,Rice with beef and holy basil,50,Thai,Stir-fried,Cook-to-order,spicy option,"beef, holy basil, rice","chili, garlic, fish sauce, soy sauce, oil",https://res.cloudinary.com/dejzapat4/image/upload/v1739355610/02003_xhvi5y.jpg
02004,02,ข้าวกะเพราทะเล,Rice with seafood and holy basil,50,Thai,Stir-fried,Cook-to-order,spicy option,"mixed seafood, holy basil, shrimp, squid, rice","chili, garlic, fish sauce, soy sauce, oil",https://res.cloudinary.com/dejzapat4/image/upload/v1739355610/02004_dafpbh.jpg
02005,02,ก๋วยเตี๋ยวหมูสับ,Noodles with minced pork,40,Thai,Boiled,Noodles,soup or partially dry (depends on stall),"noodles, pork","soup stock, garlic, pepper, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355612/02005_tupaw3.jpg
02006,02,ก๋วยเตี๋ยวคั่วไก่,Stir-fried Thai noodles with chicken,40,Thai,Stir-fried,Noodles,smoky flavor (traditionally),"noodles, chicken","soy sauce, garlic, oil",https://res.cloudinary.com/dejzapat4/image/upload/v1739355615/02006_kgfoh9.jpg
02007,02,ข้าวหมูทอดกระเทียม,Rice with fried pork and garlic,40,Thai,Fried,Cook-to-order,garlicky,"pork, garlic, rice","soy sauce, pepper, oil, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355615/02007_e1equn.jpg
02008,02,ข้าวกุ้งทอดกระเทียม,Rice with fried shrimp and garlic,50,Thai,Fried,Cook-to-order,garlicky,"shrimp, garlic, rice","soy sauce, pepper, oil, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355615/02008_frcqzx.jpg
02009,02,ข้าวไก่ผัดเม็ดมะม่วง,Rice with stir-fried chicken and cashew nuts,50,Thai/Chinese,Stir-fried,Cook-to-order,mildly sweet & savory,"chicken, cashew nuts, rice","dried chili, onions, soy sauce, oyster sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355617/02009_u6lklr.jpg
02010,02,ข้าวผัดหมู,Thai fried rice with pork,40,Thai,Stir-fried,Cook-to-order,–,"pork, rice, egg","soy sauce, fish sauce, oil, garlic, onion",https://res.cloudinary.com/dejzapat4/image/upload/v1739355615/02010_s65irl.jpg
02011,02,ข้าวผัดไก่,Thai fried rice with chicken,40,Thai,Stir-fried,Cook-to-order,–,"chicken, rice, egg","soy sauce, fish sauce, oil, garlic, onion",https://res.cloudinary.com/dejzapat4/image/upload/v1739355616/02011_h9vfbb.jpg
02012,02,ข้าวผัดกุ้ง,Thai fried rice with shrimp,50,Thai,Stir-fried,Cook-to-order,–,"shrimp, rice, egg","soy sauce, fish sauce, oil, garlic, onion",https://res.cloudinary.com/dejzapat4/image/upload/v1739355616/02012_ytn0p1.jpg
02013,02,สุกี้น้ำหมู,Thai sukiyaki soup with pork,40,Thai,Boiled,Noodles,soup,"pork, glass noodles, suki sauce","cabbage, egg, soup stock, soy sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355616/02013_iaurgx.jpg
02014,02,สุกี้น้ำไก่,Thai sukiyaki soup with chicken,40,Thai,Boiled,Noodles,soup,"chicken, glass noodles, suki sauce","cabbage, egg, soup stock, soy sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355618/02014_fck6kg.jpg
02015,02,สุกี้น้ำกุ้ง,Thai sukiyaki soup with shrimp,50,Thai,Boiled,Noodles,soup,"shrimp, glass noodles, suki sauce","cabbage, egg, soup stock, soy sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355621/02015_u8attw.jpg
02016,02,สุกี้น้ำหมึก,Thai sukiyaki soup with squid,50,Thai,Boiled,Noodles,soup,"squid, glass noodles, suki sauce","cabbage, egg, soup stock, soy sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355622/02016_aw9mpw.jpg
02017,02,สุกี้น้ำทะเล,Thai sukiyaki soup with seafood,50,Thai,Boiled,Noodles,soup,"mixed seafood, shrimp, squid, suki sauce","cabbage, egg, soup stock, soy sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355622/02017_kc8tej.jpg
02018,02,สุกี้แห้งหมู,Dry Thai sukiyaki with pork,40,Thai,Stir-fried,Noodles,“dry” style (no soup),"pork, glass noodles, suki sauce","cabbage, egg, soy sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355622/02018_cbmw0a.jpg
02019,02,สุกี้แห้งไก่,Dry Thai sukiyaki with chicken,40,Thai,Stir-fried,Noodles,“dry” style (no soup),"chicken, glass noodles, suki sauce","cabbage, egg, soy sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355622/02019_yeutqs.jpg
02020,02,สุกี้แห้งกุ้ง,Dry Thai sukiyaki with shrimp,50,Thai,Stir-fried,Noodles,“dry” style (no soup),"shrimp, glass noodles, suki sauce","cabbage, egg, soy sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355623/02020_wekxcq.jpg
02021,02,สุกี้แห้งหมึก,Dry Thai sukiyaki with squid,50,Thai,Stir-fried,Noodles,“dry” style (no soup),"squid, glass noodles, suki sauce","cabbage, egg, soy sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355624/02021_gtxywm.jpg
02022,02,สุกี้แห้งทะเล,Dry Thai sukiyaki with seafood,50,Thai,Stir-fried,Noodles,“dry” style (no soup),"mixed seafood, glass noodles, suki sauce","cabbage, egg, soy sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355624/02022_apuaa1.jpg
02023,02,ข้าวราดผัดผงกะหรี่หมู,Rice with curry powder stir-fried pork,45,Thai,Stir-fried,Cook-to-order,curry aroma,"pork, curry powder, rice","garlic, chili, onion, fish sauce, soy sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355624/02023_dhbtyo.jpg
02024,02,ข้าวราดผัดผงกะหรี่ไก่,Rice with curry powder stir-fried chicken,45,Thai,Stir-fried,Cook-to-order,curry aroma,"chicken, curry powder, rice","garlic, chili, onion, fish sauce, soy sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739355625/02024_owdi0g.jpg
02025,02,ข้าวปลากะพงผัดฉ่า,Rice with stir-fried sea bass in spicy Thai sauce,50,Thai,Stir-fried,Cook-to-order,spicy “Pad Cha” style,"sea bass, thai herbs, chili, rice","garlic, fish sauce, pepper, oil, basil leaves",https://res.cloudinary.com/dejzapat4/image/upload/v1739355625/02025_xyiz95.jpg
02026,02,ข้าวผัดฉ่าทะเล,Rice with stir-fried seafood in spicy Thai sauce,50,Thai,Stir-fried,Cook-to-order,spicy “Pad Cha” style,"mixed seafood, thai herbs, rice","garlic, fish sauce, pepper, oil, basil leaves",https://res.cloudinary.com/dejzapat4/image/upload/v1739355629/02026_s6gqiv.jpg
02027,02,ข้าวคะน้าหมูกรอบ,Rice with crispy pork and Chinese kale,40,Thai/Chinese,Stir-fried,Cook-to-order,–,"crispy pork, rice","garlic, oyster sauce, soy sauce, oil",https://res.cloudinary.com/dejzapat4/image/upload/v1739355627/02027_cg98ot.jpg
02028,02,ต้มยำกุ้ง,Tom yum soup with shrimp,70,Thai,Boiled (Soup),Soup,spicy and sour,"shrimp, tom yum broth","lemongrass, kaffir lime leaves, chili, fish sauce, lime",https://res.cloudinary.com/dejzapat4/image/upload/v1739355629/02028_aw4nf4.jpg
02029,02,ต้มยำปลากะพง,Tom yum soup with sea bass,70,Thai,Boiled (Soup),Soup,spicy and sour,"sea bass, tom yum broth","lemongrass, kaffir lime leaves, chili, fish sauce, lime",https://res.cloudinary.com/dejzapat4/image/upload/v1739355632/02029_yndekf.jpg
02030,02,ต้มยำทะเล,Tom yum soup with seafood,70,Thai,Boiled (Soup),Soup,spicy and sour,"mixed seafood, tom yum broth","lemongrass, kaffir lime leaves, chili, fish sauce, lime",https://res.cloudinary.com/dejzapat4/image/upload/v1739355631/02030_wa7llz.jpg
02031,02,ไข่ดาว,Fried egg,10,–,Fried,Topping,–,"egg, oil",salt,https://res.cloudinary.com/dejzapat4/image/upload/v1739355630/02031_tuzbs3.jpg
03001,03,ก๋วยเตี๋ยวเรือเส้นเล็กหมู,Thai boat noodles with small rice noodles and pork,40,Thai,Boiled,Noodles,"savory, slightly spicy broth","small rice noodles, pork, boat noodle broth","bean sprouts, pork stock, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360037/03001_hdenis.jpg
03002,03,ก๋วยเตี๋ยวเรือเส้นหมี่หมู,Thai boat noodles with rice vermicelli and pork,40,Thai,Boiled,Noodles,"savory, slightly spicy broth","rice vermicelli, pork, boat noodle broth","bean sprouts, pork stock, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360037/03002_p48var.jpg
03003,03,ก๋วยเตี๋ยวเรือเส้นใหญ่หมู,Thai boat noodles with wide rice noodles and pork,40,Thai,Boiled,Noodles,"savory, slightly spicy broth","wide rice noodles, pork, boat noodle broth","bean sprouts, pork stock, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360038/03003_mhfrjl.jpg
03004,03,ก๋วยเตี๋ยวเรือบะหมี่เหลืองหมู,Thai boat noodles with yellow noodles and pork,40,Thai,Boiled,Noodles,"savory, slightly spicy broth","yellow noodles, pork, boat noodle broth","bean sprouts, pork stock, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360015/03004_msyz8c.jpg
03005,03,ก๋วยเตี๋ยวเรือมาม่าหมู,Thai boat noodles with instant noodles and pork,40,Thai,Boiled,Noodles,"savory, slightly spicy broth","pork, boat noodle broth, instant noodles","bean sprouts, pork stock, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360040/03005_qyqfwd.jpg
03006,03,ก๋วยเตี๋ยวเรือเส้นเล็กเนื้อ,Thai boat noodles with small rice noodles and beef,50,Thai,Boiled,Noodles,"savory, slightly spicy broth","small rice noodles, beef, boat noodle broth","bean sprouts, beef stock, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360041/03006_kvw20n.jpg
03007,03,ก๋วยเตี๋ยวเรือเส้นหมี่เนื้อ,Thai boat noodles with rice vermicelli and beef,50,Thai,Boiled,Noodles,"savory, slightly spicy broth","rice vermicelli, beef, boat noodle broth","bean sprouts, beef stock, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360042/03007_ubuqvg.jpg
03008,03,ก๋วยเตี๋ยวเรือเส้นใหญ่เนื้อ,Thai boat noodles with wide rice noodles and beef,50,Thai,Boiled,Noodles,"savory, slightly spicy broth","wide rice noodles, beef, boat noodle broth","bean sprouts, beef stock, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360016/03008_wfnlkv.jpg
03009,03,ก๋วยเตี๋ยวเรือบะหมี่เหลืองเนื้อ,Thai boat noodles with yellow noodles and beef,50,Thai,Boiled,Noodles,"savory, slightly spicy broth","yellow noodles, beef, boat noodle broth","bean sprouts, beef stock, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360016/03009_xicrii.jpg
03010,03,ก๋วยเตี๋ยวเรือมาม่าเนื้อ,Thai boat noodles with instant noodles and beef,50,Thai,Boiled,Noodles,"savory, slightly spicy broth","beef, boat noodle broth, instant noodles","bean sprouts, beef stock, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360017/03010_tveo77.jpg
03011,03,ก๋วยเตี๋ยวเรือเส้นเล็กหมูตุ๋น,Thai boat noodles with small rice noodles and stewed pork,50,Thai,"Boiled, Stewed",Noodles,rich stew flavor,"small rice noodles, broth","bean sprouts, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360042/03011_awlirj.jpg
03012,03,ก๋วยเตี๋ยวเรือเส้นหมี่หมูตุ๋น,Thai boat noodles with rice vermicelli and stewed pork,50,Thai,"Boiled, Stewed",Noodles,rich stew flavor,"rice vermicelli, broth","bean sprouts, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360364/03012_akxdbx.jpg
03013,03,ก๋วยเตี๋ยวเรือเส้นใหญ่หมูตุ๋น,Thai boat noodles with wide rice noodles and stewed pork,50,Thai,"Boiled, Stewed",Noodles,rich stew flavor,"wide rice noodles, broth","bean sprouts, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360017/03013_hb0snt.jpg
03014,03,ก๋วยเตี๋ยวเรือบะหมี่เหลืองหมูตุ๋น,Thai boat noodles with yellow noodles and stewed pork,50,Thai,"Boiled, Stewed",Noodles,rich stew flavor,"yellow noodles, broth","bean sprouts, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360044/03014_jek3em.jpg
03015,03,ก๋วยเตี๋ยวเรือมาม่าหมูตุ๋น,Thai boat noodles with instant noodles and stewed pork,50,Thai,"Boiled, Stewed",Noodles,rich stew flavor,"stewed pork, broth, instant noodles","bean sprouts, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360046/03015_gju49b.jpg
03016,03,ก๋วยเตี๋ยวเรือเส้นเล็กเนื้อตุ๋น,Thai boat noodles with small rice noodles and stewed beef,60,Thai,"Boiled, Stewed",Noodles,rich stew flavor,"small rice noodles, broth","bean sprouts, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360017/03016_opokju.jpg
03017,03,ก๋วยเตี๋ยวเรือเส้นหมี่เนื้อตุ๋น,Thai boat noodles with rice vermicelli and stewed beef,60,Thai,"Boiled, Stewed",Noodles,rich stew flavor,"rice vermicelli, broth","bean sprouts, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360017/03017_bgsoe0.jpg
03018,03,ก๋วยเตี๋ยวเรือเส้นใหญ่เนื้อตุ๋น,Thai boat noodles with wide rice noodles and stewed beef,60,Thai,"Boiled, Stewed",Noodles,rich stew flavor,"wide rice noodles, broth","bean sprouts, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360023/03018_pmcd9y.jpg
03019,03,ก๋วยเตี๋ยวเรือบะหมี่เหลืองเนื้อตุ๋น,Thai boat noodles with yellow noodles and stewed beef,60,Thai,"Boiled, Stewed",Noodles,rich stew flavor,"yellow noodles, broth","bean sprouts, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360024/03019_bbjep6.jpg
03020,03,ก๋วยเตี๋ยวเรือมาม่าเนื้อตุ๋น,Thai boat noodles with instant noodles and stewed beef,60,Thai,"Boiled, Stewed",Noodles,rich stew flavor,"stewed beef, broth, instant noodles","bean sprouts, spices, fish sauce",https://res.cloudinary.com/dejzapat4/image/upload/v1739360048/03020_zlwxbj.jpg
03021,03,ลวกจิ้มหมู,Boiled pork slices with dipping sauce,65,Thai,Boiled,Snacks,–,pork,"fish sauce, garlic, chili, broth",https://res.cloudinary.com/dejzapat4/image/upload/v1739360025/03021_hwqk9p.jpg
03022,03,ลวกจิ้มเนื้อ,Boiled beef slices with dipping sauce,75,Thai,Boiled,Snacks,–,beef,"fish sauce, garlic, chili, broth",https://res.cloudinary.com/dejzapat4/image/upload/v1739360025/03022_sxetu8.jpg
03023,03,ข้าวเปล่า,Plain rice,10,–,–,RIce,–,rice,,https://res.cloudinary.com/dejzapat4/image/upload/v1739360024/03023_brfmxa.jpg
03024,03,กากหมูเจียว,Crispy fried pork cracklings,10,Thai,Fried,Snacks,crunchy,pork fat,"salt, oil",https://res.cloudinary.com/dejzapat4/image/upload/v1739360026/03024_qj4qjk.jpg
03025,03,เกี๊ยวทอด,Fried wontons,10,Chinese/Thai,Fried,Snacks,crispy,"wonton wrappers, pork","oil, soy sauce, garlic, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739360030/03025_we4rh0.jpg
03026,03,ผักบุ้งลวก,Blanched morning glory,10,Thai,Boiled/Blanched,Topping,healthy vegetable,morning glory,"salt, water",https://res.cloudinary.com/dejzapat4/image/upload/v1739360034/03026_lfduox.jpg
03027,03,แคปหมู,Pork rinds,10,Thai,Fried,Snacks,crispy,fat,"salt, oil",https://res.cloudinary.com/dejzapat4/image/upload/v1739360033/03027_tbshrh.jpg
03028,03,ซุปเปล่า,Plain broth,10,–,Boiled (Soup),Soup,"clear, light flavor","water, stock","salt, pepper, garlic",https://res.cloudinary.com/dejzapat4/image/upload/v1739360035/03028_ssrxzc.jpg
04001,04,สลัดผักอกไก่ น้ำสลัดครีม,Chicken breast salad with creamy dressing,45,Western,Mixed (salad),Salad,healthy,"chicken breast, lettuce","tomatoes, cucumbers, carrots, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442650/04001_rye4j7.jpg
04002,04,สลัดผักกุ้ง น้ำสลัดครีม,Shrimp salad with creamy dressing,50,Western,Mixed (salad),Salad,healthy,"shrimp, lettuce","tomatoes, cucumbers, carrots, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442650/04002_eh2g8g.jpg
04003,04,สลัดผักทูน่า น้ำสลัดครีม,Tuna salad with creamy dressing,45,Western,Mixed (salad),Salad,healthy,"tuna, lettuce","tomatoes, cucumbers, onions, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442649/04003_qzvbwa.jpg
04004,04,สลัดผักแซลม่อนสับ น้ำสลัดครีม,Chopped salmon salad with creamy dressing,45,Western,Mixed (salad),Salad,healthy,"salmon, lettuce","tomatoes, cucumbers, onions, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442650/04004_ewddvo.jpg
04005,04,สลัดผักเต้าหู้ น้ำสลัดครีม,Tofu salad with creamy dressing,45,Fusion/Western,Mixed (salad),Salad,vegetarian-friendly,"tofu, lettuce","tomatoes, cucumbers, carrots, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442651/04005_r5iyim.jpg
04006,04,สลัดผักไข่ต้ม น้ำสลัดครีม,Boiled egg salad with creamy dressing,45,Western,Mixed (salad),Salad,healthy,"boiled egg, lettuce","tomatoes, cucumbers, carrots, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442651/04006_lieeo6.jpg
04007,04,สลัดผักเนื้อ น้ำสลัดครีม,Beef salad with creamy dressing,50,Western,Mixed (salad),Salad,–,"beef, lettuce","tomatoes, cucumbers, carrots, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442652/04007_y5tnbu.jpg
04008,04,สลัดผักอกไก่ น้ำสลัดงาคั่วญี่ปุ่น,Chicken breast salad with Japanese sesame dressing,45,Japanese,Mixed (salad),Salad,healthy,"chicken breast, lettuce","tomatoes, cucumbers, carrots, sesame seeds",https://res.cloudinary.com/dejzapat4/image/upload/v1739442653/04008_yizomq.jpg
04009,04,สลัดผักกุ้ง น้ำสลัดงาคั่วญี่ปุ่น,Shrimp salad with Japanese sesame dressing,50,Japanese,Mixed (salad),Salad,–,"shrimp, lettuce","tomatoes, cucumbers, carrots, sesame seeds",https://res.cloudinary.com/dejzapat4/image/upload/v1739442653/04009_vpyhsh.jpg
04010,04,สลัดผักทูน่า น้ำสลัดงาคั่วญี่ปุ่น,Tuna salad with Japanese sesame dressing,45,Japanese,Mixed (salad),Salad,–,"tuna, lettuce","tomatoes, cucumbers, onions, sesame seeds",https://res.cloudinary.com/dejzapat4/image/upload/v1739442653/04010_gg29gw.jpg
04011,04,สลัดผักแซลม่อนสับ น้ำสลัดงาคั่วญี่ปุ่น,Chopped salmon salad with Japanese sesame dressing,45,Japanese,Mixed (salad),Salad,–,"salmon, lettuce","tomatoes, cucumbers, onions, sesame seeds",https://res.cloudinary.com/dejzapat4/image/upload/v1739442653/04011_wcjpj8.jpg
04012,04,สลัดผักเต้าหู้ น้ำสลัดงาคั่วญี่ปุ่น,Tofu salad with Japanese sesame dressing,45,Japanese,Mixed (salad),Salad,vegetarian-friendly,"tofu, lettuce","tomatoes, cucumbers, carrots, sesame seeds",https://res.cloudinary.com/dejzapat4/image/upload/v1739442656/04012_mm7lak.jpg
04013,04,สลัดผักไข่ต้ม น้ำสลัดงาคั่วญี่ปุ่น,Boiled egg salad with Japanese sesame dressing,45,Japanese,Mixed (salad),Salad,healthy,"boiled egg, lettuce","tomatoes, cucumbers, carrots, sesame seeds",https://res.cloudinary.com/dejzapat4/image/upload/v1739442654/04013_u7xs4z.jpg
04014,04,สลัดผักเนื้อ น้ำสลัดงาคั่วญี่ปุ่น,Beef salad with Japanese sesame dressing,50,Japanese,Mixed (salad),Salad,–,"beef, lettuce","tomatoes, cucumbers, carrots, sesame seeds",https://res.cloudinary.com/dejzapat4/image/upload/v1739442654/04014_sro2as.jpg
04015,04,สลัดผักอกไก่ น้ำสลัดวาซาบิ,Chicken breast salad with wasabi dressing,45,Japanese,Mixed (salad),Salad,slightly spicy,"chicken breast, lettuce","tomatoes, cucumbers, carrots, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442655/04015_xkttfj.jpg
04016,04,สลัดผักกุ้ง น้ำสลัดวาซาบิ,Shrimp salad with wasabi dressing,50,Japanese,Mixed (salad),Salad,spicy tang,"shrimp, lettuce","tomatoes, cucumbers, carrots, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442659/04016_nqe9t2.jpg
04017,04,สลัดผักทูน่า น้ำสลัดวาซาบิ,Tuna salad with wasabi dressing,45,Japanese,Mixed (salad),Salad,–,"tuna, lettuce","tomatoes, cucumbers, onions, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442656/04017_emgs4u.jpg
04018,04,สลัดผักแซลม่อนสับ น้ำสลัดวาซาบิ,Chopped salmon salad with wasabi dressing,45,Japanese,Mixed (salad),Salad,–,"salmon, lettuce","tomatoes, cucumbers, onions, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442657/04018_xfon1n.jpg
04019,04,สลัดผักเต้าหู้ น้ำสลัดวาซาบิ,Tofu salad with wasabi dressing,45,Japanese,Mixed (salad),Salad,vegetarian-friendly,"tofu, lettuce","tomatoes, cucumbers, carrots, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442658/04019_ckdpv8.jpg
04020,04,สลัดผักไข่ต้ม น้ำสลัดวาซาบิ,Boiled egg salad with wasabi dressing,45,Japanese,Mixed (salad),Salad,slightly spicy,"boiled egg, lettuce","tomatoes, cucumbers, carrots, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442657/04020_atg8br.jpg
04021,04,สลัดผักเนื้อ น้ำสลัดวาซาบิ,Beef salad with wasabi dressing,50,Japanese,Mixed (salad),Salad,–,"beef, lettuce","tomatoes, cucumbers, carrots, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442659/04021_yoe61r.jpg
04022,04,สลัดผักอกไก่ น้ำสลัดซีซาร์,Chicken breast salad with Caesar dressing,45,Western,Mixed (salad),Salad,classic Caesar,"chicken breast, lettuce","croutons, cheese, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442660/04022_vkgavp.jpg
04023,04,สลัดผักกุ้ง น้ำสลัดซีซาร์,Shrimp salad with Caesar dressing,50,Western,Mixed (salad),Salad,classic Caesar,"shrimp, lettuce","croutons, cheese, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442660/04023_dtksu0.jpg
04024,04,สลัดผักทูน่า น้ำสลัดซีซาร์,Tuna salad with Caesar dressing,45,Western,Mixed (salad),Salad,–,"tuna, lettuce","croutons, cheese, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442660/04024_mer8vu.jpg
04025,04,สลัดผักแซลม่อนสับ น้ำสลัดซีซาร์,Chopped salmon salad with Caesar dressing,45,Western,Mixed (salad),Salad,–,"salmon, lettuce","croutons, cheese, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442650/04025_mtpec1.jpg
04026,04,สลัดผักเต้าหู้ น้ำสลัดซีซาร์,Tofu salad with Caesar dressing,45,Western,Mixed (salad),Salad,vegetarian-friendly,"tofu, lettuce","croutons, cheese, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442650/04026_nqfeea.jpg
04027,04,สลัดผักไข่ต้ม น้ำสลัดซีซาร์,Boiled egg salad with Caesar dressing,45,Western,Mixed (salad),Salad,–,"boiled egg, lettuce","croutons, cheese, salt, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739442651/04027_l9zjhp.jpg
